Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2360.SR,"الفخارية",17.97,stage4,0,1,-45.1,18.4,21.06,22.65,33.80,16.37,-46.8,,"Weak / declining (0/10)",""
3002.SR,"أسمنت نجران",6.07,stage4,0,15,-28.6,6.13,6.58,6.92,8.48,5.88,-28.4,,"Weak / declining (0/10)",""
3003.SR,"أسمنت المدينة",12.24,stage4,0,8,-36.2,12.29,12.94,13.65,19.60,10.90,-37.6,,"Weak / declining (0/10)",""
3004.SR,"أسمنت الشمالية",7.05,stage1,2,37,-16.7,6.97,7.21,7.36,8.70,6.56,-19.0,,"Weak / declining (2/10)",""
3005.SR,"أسمنت ام القرى",13.75,stage3,4,39,-19.9,12.38,12.79,13.3,17.60,11.08,-21.9,,"Basing (4/10)",""
3007.SR,"الواحة",2.57,stage3,4,51,-7.3,2.43,2.44,2.45,2.98,2.09,-13.8,,"Basing (4/10)",""
3008.SR,"الكثيري",1.86,stage4,1,29,-15.2,1.94,1.99,2.03,2.30,1.75,-19.1,,"Weak / declining (1/10)",""
3010.SR,"أسمنت العربية",23.38,stage2,8,61,-3.9,23.26,22.17,22.1,24.39,20.43,-4.1,,"Strong Stage 2 (8/10) | Missing: 25%+ above 52W low, RS Rating ≥ 70 (61)",""
3020.SR,"أسمنت اليمامة",26.20,stage1,2,18,-29.7,24.91,25.42,27.07,37.25,22.59,-29.7,,"Weak / declining (2/10)",""
3030.SR,"أسمنت السعودية",33.46,stage4,1,24,-21.2,34.06,35.25,36.2,42.40,29.74,-21.1,,"Weak / declining (1/10)",""
3040.SR,"أسمنت القصيم",44.50,potential,6,45,-13.8,43.09,42.52,42.6,52.80,40.50,-15.7,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 25%+ above 52W low, RS Rating ≥ 70 (45)",""
3050.SR,"أسمنت الجنوب",21.31,stage4,0,12,-31.5,22.07,22.57,23.53,31.30,20.66,-31.9,,"Weak / declining (0/10)",""
3060.SR,"أسمنت ينبع",15.50,stage3,3,20,-29.9,14.63,15.06,15.44,21.44,13.87,-27.7,,"Weak / declining (3/10)",""
3080.SR,"أسمنت الشرقية",25.80,stage3,4,34,-23.6,23.66,24.11,24.76,33.10,21.95,-22.1,,"Basing (4/10)",""
3090.SR,"أسمنت تبوك",8.07,stage4,0,14,-31.8,8.2,8.91,9.27,12.12,7.70,-33.4,,"Weak / declining (0/10)",""
3091.SR,"أسمنت الجوف",5.43,stage1,1,5,-39.9,5.08,6,6.18,9.35,4.68,-41.9,,"Weak / declining (1/10)",""
3092.SR,"أسمنت الرياض",23.43,stage4,0,24,-27.0,23.59,24.21,25.45,34.00,22.10,-31.1,,"Weak / declining (0/10)",""
1212.SR,"أسترا الصناعية",137.70,stage1,4,41,-15.6,144.33,141.85,141.79,164.40,120.30,-16.2,,"Basing (4/10)",""
1214.SR,"شاكر",14.80,stage4,0,8,-33.7,16.18,17.96,19.09,24.82,14.34,-40.4,,"Weak / declining (0/10)",""
1302.SR,"بوان",43.12,stage4,0,37,-15.5,44.47,48,50.4,61.85,41.00,-30.3,,"Weak / declining (0/10)",""
1303.SR,"صناعات كهربائية",16.70,stage2,9,97,132.9,16.95,13.65,12.65,19.90,6.71,-16.1,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2040.SR,"الخزف السعودي",30.60,potential,8,78,-0.6,28.85,28.37,28.79,34.64,24.00,-11.7,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
