Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
ECPG,"Encore Capital Group Inc",81.49,stage2,9,65,110.7,81.16,66.5,60.9,92.64,35.67,-12.0,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (65)",""
BC,"Brunswick Corporation",85.02,stage2,9,55,48.9,80.4,78.23,74.9,90.25,54.20,-5.8,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (55)",""
ELMD,"Electromed, Inc.",38.92,stage2,10,73,80.9,31.56,28.18,27.23,40.00,17.73,-2.7,,"Textbook Stage 2 (10/10)",""
HCC,"Warrior Met Coal, Inc.",96.86,stage2,9,58,127.2,89.51,88.43,83.07,110.39,40.80,-12.3,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (58)",""
SEI,"Solaris Energy Infrastructure, ",76.25,stage2,10,81,157.0,71.15,58.2,54.88,81.24,24.57,-6.1,,"Textbook Stage 2 (10/10)",""
FSTR,"L.B. Foster Company",42.38,stage2,10,74,115.8,36.69,31.34,30.25,43.50,19.39,-2.6,,"Textbook Stage 2 (10/10)",""
DIOD,"Diodes Incorporated",114.31,stage2,10,83,113.2,101.68,72.91,67.54,121.96,42.28,-6.3,,"Textbook Stage 2 (10/10)",""
TER,"Teradyne, Inc.",432.21,stage2,10,88,367.3,370.34,289.03,253.31,434.37,84.12,-0.5,NEAR HIGH,"Textbook Stage 2 (10/10)",""
GVA,"Granite Construction Incorporat",144.06,stage2,9,49,57.9,134.32,124.86,120.01,145.00,88.17,-0.6,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (49)",""
ADI,"Analog Devices, Inc.",429.31,stage2,9,60,83.0,398.3,333.65,309.83,439.70,218.37,-2.4,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (60)",""
MOD,"Modine Manufacturing Company",284.79,stage2,10,82,183.8,263.84,204.84,190.95,323.25,86.48,-11.9,,"Textbook Stage 2 (10/10)",""
CDNA,"CareDx, Inc.",22.75,stage2,9,51,20.6,21.17,19.53,18.36,24.13,10.96,-5.7,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (51)",""
FIX,"Comfort Systems USA, Inc.",1945.18,stage2,10,84,275.5,1815.96,1384.9,1254.42,2073.99,489.98,-6.2,,"Textbook Stage 2 (10/10)",""
