Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
4031.SR,"الخدمات الأرضية",31.62,stage4,0,19,-28.9,31.96,34.61,37.11,51.70,30.36,-38.8,,"Weak / declining (0/10)",""
4040.SR,"سابتكو",11.31,potential,7,74,-11.9,11.31,10.17,10.86,15.00,8.25,-24.6,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, Price > 50MA",""
4260.SR,"بدجت السعودية",34.94,stage4,0,5,-32.7,37.77,43.22,46.02,59.21,32.92,-41.0,,"Weak / declining (0/10)",""
4261.SR,"ذيب",25.38,stage4,0,2,-40.2,27.4,33.08,35.49,45.73,25.16,-44.5,,"Weak / declining (0/10)",""
4262.SR,"لومي",35.06,stage4,0,3,-38.9,36.92,43.41,47.71,65.00,34.10,-46.1,,"Weak / declining (0/10)",""
4263.SR,"سال",166.70,stage1,2,53,0.9,166.44,166.84,168.78,192.00,157.00,-13.2,,"Weak / declining (2/10)",""
4264.SR,"طيران ناس",52.75,stage1,1,0,0.0,51.57,58.02,63.04,84.10,49.50,-37.3,,"Weak / declining (1/10)",""
4265.SR,"شري",25.12,stage1,1,0,0.0,25.6,,,31.68,23.81,-20.7,,"Weak / declining (1/10)",""
1213.SR,"نسيج",22.70,stage4,0,1,-69.7,23.99,29.52,41.4,110.80,20.55,-79.5,,"Weak / declining (0/10)",""
2130.SR,"صدق",15.00,stage1,5,84,-36.4,12.58,12.17,16.03,35.70,9.34,-58.0,,"Basing (5/10)",""
2340.SR,"ارتيكس",10.80,stage1,2,45,-12.2,10.42,10.56,11.09,14.78,9.73,-26.9,,"Weak / declining (2/10)",""
4011.SR,"لازوردي",11.38,stage4,1,39,-5.6,11.52,11.62,11.89,13.89,11.06,-18.1,,"Weak / declining (1/10)",""
4012.SR,"الأصيل",3.69,stage1,5,47,-1.6,3.69,3.55,3.57,4.24,3.29,-13.0,,"Basing (5/10)",""
4180.SR,"مجموعة فتيحي",2.45,stage4,0,14,-23.4,2.55,2.7,2.81,3.75,2.41,-34.7,,"Weak / declining (0/10)",""
1810.SR,"سيرا",21.41,stage4,0,26,-12.2,23.36,26.2,27.69,34.59,21.29,-38.1,,"Weak / declining (0/10)",""
1820.SR,"بان",1.96,stage1,4,66,3.7,1.89,1.86,1.94,2.69,1.66,-27.1,,"Basing (4/10)",""
1830.SR,"لجام للرياضة",81.60,stage4,0,15,-33.8,84.12,93.85,105.47,151.70,77.75,-46.2,,"Weak / declining (0/10)",""
4170.SR,"شمس",17.00,potential,7,85,14.9,15.61,13.91,14.83,24.40,10.68,-30.3,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, Within 25% of 52W high",""
4290.SR,"الخليج للتدريب",15.10,stage4,0,3,-37.2,15.88,18.6,20.53,29.38,15.10,-48.6,,"Weak / declining (0/10)",""
4291.SR,"الوطنية للتعليم",118.80,stage4,0,32,-20.2,118.82,127.85,136.38,183.00,110.30,-35.1,,"Weak / declining (0/10)",""
4292.SR,"عطاء",51.60,stage4,0,32,-16.2,54.36,55.81,58.1,70.60,51.30,-26.9,,"Weak / declining (0/10)",""
6002.SR,"هرفي للأغذية",15.75,stage1,2,39,-24.6,14.99,15.41,16.84,26.36,13.68,-40.3,,"Weak / declining (2/10)",""
6012.SR,"ريدان",13.36,stage4,0,1,-51.9,16.09,20.2,22.73,32.40,13.04,-58.8,,"Weak / declining (0/10)",""
6013.SR,"التطويرية الغذائية",96.30,stage1,1,43,-3.7,93.1,100.87,108.94,149.70,85.50,-35.7,,"Weak / declining (1/10)",""
6014.SR,"الآمار",42.18,stage4,1,23,-24.0,43.14,42.69,44.44,60.90,39.18,-30.7,,"Weak / declining (1/10)",""
6015.SR,"أمريكانا (شركة أجنبية)",1.96,potential,6,46,-3.9,1.91,1.84,1.88,2.43,1.63,-19.3,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 25%+ above 52W low, RS Rating ≥ 70 (46)",""
6016.SR,"برغرايززر",7.91,stage1,1,24,-17.3,7.84,8.53,8.9,11.31,7.33,-30.1,,"Weak / declining (1/10)",""
6017.SR,"جاهز",14.02,stage1,2,17,-45.0,12.83,14.32,16.04,28.46,11.09,-50.7,,"Weak / declining (2/10)",""
6018.SR,"الأندية للرياضة",6.91,stage4,0,0,0.0,6.97,7.82,8.46,13.46,6.54,-48.7,,"Weak / declining (0/10)",""
6019.SR,"المسار الشامل",21.98,stage1,2,0,0.0,21.42,,,28.18,20.53,-22.0,,"Weak / declining (2/10)",""
4070.SR,"تهامة",15.88,stage1,1,22,-39.8,14.7,16.16,18.9,31.00,14.03,-48.8,,"Weak / declining (1/10)",""
4071.SR,"العربية",94.00,stage4,2,36,-5.6,104.82,113.17,110.33,131.60,81.50,-28.6,,"Weak / declining (2/10)",""
